(spacy) D:\GitHub\Spacy-Serbian-Transformer>python -m spacy train config.cfg --output ./model2
✔ Created output directory: model2
ℹ Saving to output directory: model2
ℹ Using CPU

=========================== Initializing pipeline ===========================
[2023-10-16 16:48:34,961] [INFO] Set up nlp object from config
[2023-10-16 16:48:34,969] [INFO] Pipeline: ['tok2vec', 'tagger', 'trainable_lemmatizer']
[2023-10-16 16:48:34,983] [INFO] Added vocab lookups: lexeme_norm
[2023-10-16 16:48:34,983] [INFO] Created vocabulary
[2023-10-16 16:48:34,983] [INFO] Finished initializing nlp object
[2023-10-16 16:48:39,244] [INFO] Initialized pipeline components: ['tok2vec', 'tagger', 'trainable_lemmatizer']
✔ Initialized pipeline

============================= Training pipeline =============================
ℹ Pipeline: ['tok2vec', 'tagger', 'trainable_lemmatizer']
ℹ Initial learn rate: 0.001
E    #       LOSS TOK2VEC  LOSS TAGGER  LOSS TRAIN...  TAG_ACC  LEMMA_ACC  SCORE
---  ------  ------------  -----------  -------------  -------  ---------  ------
  0       0          0.00        74.06          78.93    26.82      45.29    0.36
  0     200        521.26      6464.67        9228.03    87.61      78.09    0.83
  0     400        849.35      3825.60        6176.89    91.49      86.16    0.89
  0     600       1110.73      3671.57        5859.01    93.57      89.16    0.91
  0     800       1405.42      3823.43        6089.78    94.48      90.77    0.93
  0    1000       1674.25      4035.44        6246.62    95.30      92.83    0.94
  0    1200       2006.81      4440.07        6685.15    95.79      93.52    0.95
  1    1400       2016.66      4172.20        5908.81    96.40      94.28    0.95
  1    1600       2168.55      4094.56        5352.91    96.55      94.72    0.96
  1    1800       2689.70      4854.90        5970.13    96.82      95.13    0.96
  2    2000       2504.03      4494.58        5005.72    96.83      95.45    0.96
  2    2200       2872.95      4929.95        4879.97    96.97      95.58    0.96
  3    2400       2464.30      4240.52        3659.10    97.04      95.74    0.96
  4    2600       2441.84      4040.05        3204.63    97.05      95.77    0.96
  5    2800       2277.12      3418.97        2777.43    97.14      95.89    0.97
  5    3000       2308.22      3144.90        2546.57    97.04      95.78    0.96
  6    3200       1973.54      2482.16        2078.65    97.20      95.85    0.97
  7    3400       2092.19      2614.89        1973.70    97.12      95.86    0.96
  8    3600       2164.40      2429.77        1948.86    97.22      95.88    0.97
  8    3800       2075.08      2155.88        1736.33    97.20      95.89    0.97
  9    4000       1907.65      1869.34        1553.03    97.19      95.91    0.97
 10    4200       1948.33      1825.47        1501.86    97.26      95.89    0.97
 11    4400       2050.30      1794.82        1525.96    97.16      95.91    0.97
 11    4600       1992.58      1594.50        1442.09    97.17      95.96    0.97
 12    4800       1928.57      1472.68        1359.70    97.14      95.95    0.97
 13    5000       1943.03      1425.93        1278.87    97.22      95.93    0.97
 14    5200       1955.01      1441.68        1231.21    97.21      95.93    0.97
 14    5400       1933.90      1357.18        1193.88    97.26      95.97    0.97
 15    5600       1788.25      1182.98        1069.31    97.25      95.99    0.97
 16    5800       1893.04      1250.56        1045.92    97.30      95.98    0.97
 17    6000       1878.05      1177.71        1056.00    97.24      95.93    0.97
 17    6200       1858.25      1137.83        1002.74    97.24      95.94    0.97
 18    6400       1889.56      1065.11        1000.32    97.24      96.01    0.97
 19    6600       1920.11      1078.32        1009.78    97.24      95.98    0.97
 20    6800       1884.46      1055.14         931.82    97.31      95.93    0.97
 20    7000       1814.56       953.35         881.26    97.24      95.95    0.97
 21    7200       1800.24       943.11         841.91    97.25      95.98    0.97
 22    7400       1878.62       908.35         888.43    97.23      95.89    0.97
✔ Saved pipeline to output directory
model2\model-last
